,categories name,brand name,product name,pro description,price,brand,color,size,img url 1,img url 2
https://www2.hm.com/en_us/productpage.1274440001.html,pants,H&M,Flared Textured Pants,"Fitted pants in textured jersey. High waist, elasticized waistband, and flared hems.","160,000",H&M,Cream,"S,M,L",https://image.hm.com/assets/hm/29/8b/298bd38c2c4f1ca1b8c411ed57a9f87bafc76867.jpg?imwidth=1260,https://image.hm.com/assets/hm/92/09/920999e472ba71e3cca74b7434ff5e6673b97c59.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274439002.html,shirt,H&M,Textured Shirt,"Fitted shirt in textured jersey. Collar, buttons at front, and long sleeves.","445,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/49/d4/49d481338e70c88d2c45566e460df77e6e187fe7.jpg?imwidth=1260,https://image.hm.com/assets/hm/81/94/8194c1aea6542d7c95077d2ef13fd15616b56b3c.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274439001.html,shirt,H&M,Textured Shirt,"Fitted shirt in textured jersey. Collar, buttons at front, and long sleeves.","313,000",H&M,Cream,"S,M,L",https://image.hm.com/assets/hm/10/38/1038c533fc14969ee4ea9e11358fc9a6fb812122.jpg?imwidth=1260,https://image.hm.com/assets/hm/7c/53/7c53606747104fba67181212408e86ed42624946.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274432001.html,shirt,H&M,Glittery Bandeau Top,Fitted bandeau top in ribbed jersey with glittery thread. Concealed elastic at upper edge and a gathered seam above a tiered peplum with overlocked edges. Lined.,"160,000",H&M,Black/glittery,"S,M,L",https://image.hm.com/assets/hm/1b/3b/1b3b25c9189537aba62e18375667579e2e14b219.jpg?imwidth=1260,https://image.hm.com/assets/hm/9f/a7/9fa7cd52e0ba7b48561bc0672d7a0b1080d06403.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274431001.html,shirt,H&M,Fitted Cardigan,"Fitted, lightly textured knit cardigan. Square neckline, shiny metal buttons at front, and long sleeves.","1,100,000",H&M,Red,"S,M,L",https://image.hm.com/assets/hm/90/24/9024d33ef1a5219b26da85b84504514aab8790b1.jpg?imwidth=1260,https://image.hm.com/assets/hm/16/93/16930779a9a438d4b2bdca39be6c0756f748a3e4.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274429002.html,shirt,H&M,Bead-Embellished Cardigan,Short cardigan in densely knit fabric. Spherical buttons at front and decorative pocket flaps embellished with shiny beads.,"1,300,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/e4/7e/e47ee1d66e60562f7f8af92c92c66e301d171a00.jpg?imwidth=1260,https://image.hm.com/assets/hm/e0/a0/e0a08039c54aff256a3b1bb76acc253ade0ea110.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274429001.html,shirt,H&M,Bead-Embellished Cardigan,Short cardigan in densely knit fabric. Spherical buttons at front and decorative pocket flaps embellished with shiny beads.,"1,300,000",H&M,White,"S,M,L",https://image.hm.com/assets/hm/5a/c0/5ac0d9cd50dab5d8b4762d639dfd2feef7aca298.jpg?imwidth=1260,https://image.hm.com/assets/hm/d6/25/d62568964863c2851195e7b9f8587e7a9d69a153.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274428001.html,pants,H&M,Flared Crinkled Pants,"Fitted pants in crinkled jersey. Concealed, elasticized waistband and flared hems.","235,000",H&M,Brown,"S,M,L",https://image.hm.com/assets/hm/a0/3f/a03fdbf360e2d69d9a2472dc0727e1cf4f0d0958.jpg?imwidth=1260,https://image.hm.com/assets/hm/ca/b9/cab961aebf0d6a217193a9a4c5804f7fc466e238.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274427001.html,shirt,H&M,Fitted Crinkled Shirt,"Fitted shirt in crinkled jersey. Large, pointed collar, buttons at front, and long sleeves.","445,000",H&M,Brown,"S,M,L",https://image.hm.com/assets/hm/da/1f/da1fa00108329fbe1116172fd7a207c4b7e337b3.jpg?imwidth=1260,https://image.hm.com/assets/hm/60/b3/60b3abb8ff8db781c0b14e7b7c4940dd28986119.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274398001.html,skirt,H&M,Chain-Detail Knit Skirt,"Short, fitted skirt in densely knit fabric. High waist, elasticized waistband, and a decorative metal chain at hem.","800,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/d2/44/d24442be94464320de984a7288c9eddaebc61efb.jpg?imwidth=1260,https://image.hm.com/assets/hm/f6/92/f69286db90293c2c21f0fff7cc950138c7486ddf.jpg?imwidth=1260
